id,generation_id,name,engine_type,engine_code,displacement_cc,horsepower,torque_nm,transmission,drive_type,market
toyota_corolla_e210_2zr-fe,toyota_corolla_e210,2ZR-FE,gasoline,2ZR-FE,1798.0,132,176.0,CVT,FWD,North America (older models)
toyota_corolla_e210_1zr-fe,toyota_corolla_e210,1ZR-FE,gasoline,1ZR-FE,1598.0,122,154.0,CVT,FWD,Asia/Other
toyota_corolla_e210_a25a-fxa,toyota_corolla_e210,A25A-FXA (Hybrid AWD),hybrid,A25A-FXA,2487.0,194,221.0,eCVT,AWD,North America (Corolla Cross/Sedan)
toyota_corolla_e210_t20a-ftv,toyota_corolla_e210,T20A-FTV (Turbo),gasoline,T20A-FTV,1986.0,240,350.0,8AT,AWD,China (Levin)
toyota_corolla_e210_m20d-thx,toyota_corolla_e210,M20D-THX (Diesel),diesel,M20D-THX,1968.0,122,300.0,Manual/CVT,FWD,Europe
toyota_camry_xv20_2.2_4cylinder_5sfe,toyota_camry_code_xv20,2.2L I4 (5S-FE),gasoline,5S-FE,2164.0,133,198.0,"4-speed automatic, 5-speed manual",FWD,Global
toyota_camry_xv20_3.0_v6_1mzfe,toyota_camry_code_xv20,3.0L V6 (1MZ-FE),gasoline,1MZ-FE,2995.0,194,279.0,"4-speed automatic, 5-speed manual",FWD,Global
toyota_camry_xv20_2.2_4cylinder_5sfe_flex,toyota_camry_code_xv20,2.2L I4 Flex-Fuel (5S-FE),gasoline,5S-FE,2164.0,136,198.0,4-speed automatic,FWD,North America
toyota_camry_xv30_2az_fe,toyota_camry_code_xv30,2.4L (2AZ-FE),gasoline,2AZ-FE,2362.0,157,218.0,"4-speed automatic, 5-speed manual",FWD,Global
toyota_camry_xv30_1mz_fe,toyota_camry_code_xv30,3.0L V6 (1MZ-FE),gasoline,1MZ-FE,2995.0,192,270.0,"4-speed automatic, 5-speed automatic",FWD,Global
toyota_camry_xv30_1mz_fe_vvt_i,toyota_camry_code_xv30,3.0L V6 VVT-i (1MZ-FE),gasoline,1MZ-FE,2995.0,210,304.0,5-speed automatic,FWD,Global (Later Models)
toyota_camry_xv30_1az_fe,toyota_camry_code_xv30,2.0L (1AZ-FE),gasoline,1AZ-FE,1998.0,150,191.0,"4-speed automatic, 5-speed manual",FWD,"Japan, Europe, Asia"
toyota_camry_xv30_2az_fxse,toyota_camry_code_xv30,2.4L Hybrid (2AZ-FXS),hybrid,2AZ-FXS,2362.0,140,215.0,eCVT,FWD,"North America, Japan"
toyota_camry_xv40_2400_2azfe,toyota_camry_code_xv40,2.4L (2AZ-FE),gasoline,2AZ-FE,2362.0,158,218.0,auto,FWD,Global
toyota_camry_xv40_3500_2grfe,toyota_camry_code_xv40,3.5L (2GR-FE),gasoline,2GR-FE,3456.0,268,336.0,auto,FWD,Global
toyota_camry_xv40_2500_4cyl_china,toyota_camry_code_xv40,2.5L (4-Cylinder),gasoline,2AR-FE,2494.0,167,224.0,auto,FWD,China
toyota_camry_xv40_2400_diesel_europe,toyota_camry_code_xv40,2.4L Diesel (2AD-FTV),diesel,2AD-FTV,2231.0,148,340.0,auto|manual,FWD,Europe
toyota_camry_xv50_20_asv50_2000cc_2ar_fe,toyota_camry_code_xv50,2.0L (ASV50),gasoline,6AR-FSE,1998.0,150,191.0,CVT,FWD,"China, Japan"
toyota_camry_xv50_25_asv50_2500cc_2ar_fe,toyota_camry_code_xv50,2.5L (ASV50),gasoline,2AR-FE,2494.0,181,231.0,6-speed automatic,FWD,Global
toyota_camry_xv50_25_asv50_2500cc_2ar_fxes,toyota_camry_code_xv50,2.5L Hybrid (ASV50),hybrid,2AR-FXE,2494.0,200,,eCVT,FWD,Global
toyota_camry_xv50_35_gsv50_3500cc_2gr_fe,toyota_camry_code_xv50,3.5L (GSV50),gasoline,2GR-FE,3456.0,268,336.0,6-speed automatic,FWD,"North America, Middle East"
toyota_camry_xv50_20_d4_2000cc_1ar_fe,toyota_camry_code_xv50,2.0L (D4),gasoline,1AR-FE,1998.0,148,187.0,6-speed automatic,FWD,China
toyota_camry_xv50_24_asv50_2400cc_2az_fe,toyota_camry_code_xv50,"2.4L (Pre-facelift, ASV50)",gasoline,2AZ-FE,2362.0,167,224.0,5-speed automatic,FWD,Some markets (early models)
toyota_camry_xv70_a25a-fks,toyota_camry_xv70,2.5L Dynamic Force (A25A-FKS),gasoline,A25A-FKS,2487.0,203,250.0,Direct Shift-CVT,FWD,Global
toyota_camry_xv70_a25a-fkb,toyota_camry_xv70,2.5L Dynamic Force (A25A-FKB) AWD,gasoline,A25A-FKB,2487.0,203,250.0,Direct Shift-CVT,AWD,North America
toyota_camry_xv70_m20a-fks,toyota_camry_xv70,2.0L Dynamic Force (M20A-FKS),gasoline,M20A-FKS,1986.0,171,210.0,Direct Shift-CVT,FWD,"China, Southeast Asia"
toyota_camry_xv70_a20a-fks,toyota_camry_xv70,2.0L Gasoline (A20A-FKS),gasoline,A20A-FKS,1998.0,150,192.0,CVT,FWD,China
toyota_camry_xv70_a25a-fxs,toyota_camry_xv70,2.5L Hybrid Synergy Drive (A25A-FXS),hybrid,A25A-FXS,2487.0,208,221.0,e-CVT,FWD,Global
toyota_camry_xv70_a25a-fxs_awd,toyota_camry_xv70,2.5L Hybrid Synergy Drive AWD (A25A-FXS),hybrid,A25A-FXS,2487.0,208,221.0,e-CVT,AWD,North America
toyota_camry_xv70_k25a-fxs,toyota_camry_xv70,2.5L Hybrid (K25A-FXS) - Japan/Asia,hybrid,K25A-FXS,2487.0,218,221.0,e-CVT,FWD,"Japan, Asia"
toyota_camry_xv70_a7a-fse,toyota_camry_xv70,2.5L Hybrid (A7A-FSE) - China,hybrid,A7A-FSE,2487.0,215,221.0,e-CVT,FWD,China
toyota_camry_xv70_2gr-fks,toyota_camry_xv70,3.5L V6 (2GR-FKS),gasoline,2GR-FKS,3456.0,301,362.0,8-speed Automatic,FWD,Global (excluding Europe)
toyota_camry_xv70_m25a-fks,toyota_camry_xv70,2.5L Dynamic Force (M25A-FKS) - Facelift,gasoline,M25A-FKS,2487.0,205,250.0,Direct Shift-CVT,FWD,Global (Facelift)
toyota_camry_xv70_m25a-fxs,toyota_camry_xv70,2.5L Hybrid (M25A-FXS) - Facelift,hybrid,M25A-FXS,2487.0,209,221.0,e-CVT,FWD,Global (Facelift)
toyota_camry_xv70_a20d-ftv,toyota_camry_xv70,2.0L Turbo (A20D-FTV),gasoline,A20D-FTV,1998.0,251,350.0,8-speed Automatic,FWD,China
toyota_camry_xv70_2ar-fbe,toyota_camry_xv70,2.5L Flex Fuel (2AR-FBE),gasoline,2AR-FBE,2494.0,181,235.0,6-speed Automatic,FWD,Brazil
toyota_camry_xv70_2ar-fxs,toyota_camry_xv70,2.5L Hybrid (2AR-FXS) - Early Models,hybrid,2AR-FXS,2494.0,208,213.0,e-CVT,FWD,Early Global Models
toyota_sienna_xl10_2.2_4y_engine,toyota_sienna_xl10,2.2L I4 (4Y-E),gasoline,4Y-E,2164.0,103,175.0,auto,FWD,North America
toyota_sienna_xl10_3.0_1mz_fe_engine,toyota_sienna_xl10,3.0L V6 (1MZ-FE),gasoline,1MZ-FE,2958.0,194,284.0,auto,FWD,North America
toyota_sienna_xl20_2gr_fe,toyota_sienna_xl20,3.5L V6 (2GR-FE),gasoline,2GR-FE,3456.0,266,333.0,auto,FWD,North America
toyota_sienna_xl20_2gr_fe_awd,toyota_sienna_xl20,3.5L V6 (2GR-FE) AWD,gasoline,2GR-FE,3456.0,266,333.0,auto,AWD,North America
toyota_sienna_xl30_2gr_fe,toyota_sienna_xl30,3.5L V6 (2GR-FE),gasoline,2GR-FE,3456.0,266,333.0,auto,FWD,North America
toyota_sienna_xl30_2gr_fxs,toyota_sienna_xl30,3.5L V6 Hybrid (2GR-FXS),hybrid,2GR-FXS,3456.0,241,318.0,eCVT,AWD,North America
toyota_sienna_xl40_2gr_fe,toyota_sienna_xl40,3.5L V6 (2GR-FE),gasoline,2GR-FE,3456.0,266,333.0,automatic,FWD,North America
toyota_sienna_xl40_2gr_fe_awd,toyota_sienna_xl40,3.5L V6 (2GR-FE) AWD,gasoline,2GR-FE,3456.0,266,333.0,automatic,AWD,North America
toyota_sienna_xl40_2ar_fe,toyota_sienna_xl40,2.7L I4 (2AR-FE),gasoline,2AR-FE,2699.0,187,254.0,automatic,FWD,North America
toyota_highlander_xu20_24l_2azfe,toyota_highlander_xu20,2.4L (2AZ-FE),gasoline,2AZ-FE,2362.0,155,220.0,auto,FWD,North America
toyota_highlander_xu20_30l_1mzfe,toyota_highlander_xu20,3.0L V6 (1MZ-FE),gasoline,1MZ-FE,2995.0,170,298.0,auto,FWD|AWD,Global
toyota_highlander_xu20_33l_3mzfe,toyota_highlander_xu20,3.3L V6 (3MZ-FE),gasoline,3MZ-FE,3310.0,215,328.0,auto,FWD|AWD,Global
toyota_highlander_xu20_33l_3mzfe_hybrid,toyota_highlander_xu20,3.3L V6 Hybrid (3MZ-FPE),hybrid,3MZ-FPE,3310.0,230,,e-CVT,AWD,North America
toyota_highlander_xu40_2gr_fe,toyota_highlander_xu40,3.5L V6 (2GR-FE),gasoline,2GR-FE,3456.0,270,336.0,auto,FWD|AWD,"North America, Global"
toyota_highlander_xu40_2az_fe,toyota_highlander_xu40,2.4L I4 (2AZ-FE),gasoline,2AZ-FE,2362.0,187,247.0,auto,FWD,North America (Base Model)
toyota_highlander_xu40_3mz_fe,toyota_highlander_xu40,3.3L V6 (3MZ-FE),gasoline,3MZ-FE,3310.0,230,328.0,auto,FWD|AWD,Early Models (Carryover from XU20)
toyota_highlander_xu40_2gr_fxs,toyota_highlander_xu40,3.5L V6 Hybrid (2GR-FXS),hybrid,2GR-FXS,3456.0,280,,eCVT,AWD,"North America, Global"
toyota_highlander_xu50_27_variant,toyota_highlander_xu50,2.7L V6 (2AR-FE),gasoline,2AR-FE,2672.0,187,252.0,automatic,FWD,North America
toyota_highlander_xu50_35_v6_variant,toyota_highlander_xu50,3.5L V6 (2GR-FE),gasoline,2GR-FE,3456.0,270,337.0,automatic,FWD|AWD,Global
toyota_highlander_xu50_25_hybrid_variant,toyota_highlander_xu50,2.5L Hybrid (2AR-FXE),hybrid,2AR-FXE,2494.0,194,,eCVT,AWD,Global
toyota_highlander_xu70_25_hybrid,toyota_highlander_xu70,2.5L Hybrid (A25A-FXS),hybrid,A25A-FXS,2487.0,248,,e-CVT,AWD,Global
toyota_highlander_xu70_35_v6,toyota_highlander_xu70,3.5L V6 (2GR-FKS),gasoline,2GR-FKS,3456.0,295,353.0,8-speed automatic,FWD|AWD,"North America, China"
toyota_highlander_xu70_24_turbo,toyota_highlander_xu70,2.4L Turbo (T24A-FTS),gasoline,T24A-FTS,2393.0,265,420.0,8-speed automatic,FWD|AWD,Global (replacing 3.5L V6 in some markets)
toyota_highlander_xu70_25_hybrid_2wd,toyota_highlander_xu70,2.5L Hybrid (A25A-FXS) FWD,hybrid,A25A-FXS,2487.0,248,,e-CVT,FWD,Global
toyota_rav4_xa20_1az_fe_20_l,toyota_rav4_xa20,2.0L (1AZ-FE),gasoline,1AZ-FE,1998.0,150,192.0,"5-speed manual, 4-speed automatic","FWD, AWD",Global
toyota_rav4_xa20_1zz_fe_18_l,toyota_rav4_xa20,1.8L (1ZZ-FE),gasoline,1ZZ-FE,1794.0,125,168.0,"5-speed manual, 4-speed automatic",FWD,"Select Markets (e.g., Japan)"
toyota_rav4_xa20_1cd_ftv_20_l_d4d,toyota_rav4_xa20,2.0L D-4D (1CD-FTV),diesel,1CD-FTV,1995.0,116,280.0,5-speed manual,AWD,"Europe, Australia"
toyota_rav4_xa30_20_vvt_i,toyota_rav4_xa30,2.0L VVT-i,gasoline,3ZR-FE,1998.0,151,194.0,manual|automatic,FWD|AWD,Global
toyota_rav4_xa30_24_vvt_i,toyota_rav4_xa30,2.4L VVT-i,gasoline,2AZ-FE,2362.0,166,220.0,automatic,AWD,North America
toyota_rav4_xa30_25_dual_vvt_i,toyota_rav4_xa30,2.5L Dual VVT-i,gasoline,2AR-FE,2494.0,179,233.0,automatic,FWD|AWD,Global (Later models)
toyota_rav4_xa30_35_v6,toyota_rav4_xa30,3.5L V6,gasoline,2GR-FE,3456.0,269,333.0,automatic,AWD,North America
toyota_rav4_xa30_22_d4d,toyota_rav4_xa30,2.2L D-4D,diesel,2AD-FTV,2231.0,136,310.0,manual|automatic,AWD,Europe/Other
toyota_rav4_xa30_22_d4d_high_output,toyota_rav4_xa30,2.2L D-4D High Output,diesel,2AD-FHV,2231.0,150,340.0,manual|automatic,AWD,Europe/Other
toyota_rav4_xa40_20l_gasoline,toyota_rav4_xa40,2.0L Gasoline (6ZR-FE),gasoline,6ZR-FE,1986.0,151,198.0,CVT|Manual,FWD|AWD,Global
toyota_rav4_xa40_25l_gasoline,toyota_rav4_xa40,2.5L Gasoline (2AR-FE),gasoline,2AR-FE,2494.0,177,233.0,CVT|Automatic,FWD|AWD,Global
toyota_rav4_xa40_22l_diesel,toyota_rav4_xa40,2.2L Diesel (2AD-FTV),diesel,2AD-FTV,2231.0,150,340.0,Manual|Automatic,AWD,"Europe, Australia"
toyota_rav4_xa40_22l_diesel_hp124,toyota_rav4_xa40,2.2L Diesel (2AD-FHV) - High Power,diesel,2AD-FHV,2231.0,148,340.0,Manual,AWD,Europe
toyota_rav4_xa40_hybrid,toyota_rav4_xa40,2.5L Hybrid (2AR-FXE),hybrid,2AR-FXE,2494.0,194,,eCVT,AWD,Global (later years)
toyota_rav4_xa50_m20a-fks,toyota_rav4_xa50,2.0L Dynamic Force (M20A-FKS),gasoline,M20A-FKS,1986.0,171,207.0,CVT,FWD|AWD,Global (excluding North America)
toyota_rav4_xa50_a25a-fks,toyota_rav4_xa50,2.5L Dynamic Force (A25A-FKS),gasoline,A25A-FKS,2487.0,203,249.0,8AT,FWD|AWD,"North America, China, etc."
toyota_rav4_xa50_a25a-fxs,toyota_rav4_xa50,2.5L Hybrid Synergy Drive (A25A-FXS),hybrid,A25A-FXS,2487.0,218,,eCVT,FWD|AWD-i,Global
toyota_rav4_xa50_t20a-ftv,toyota_rav4_xa50,2.0L Turbo (T20A-FTV),gasoline,T20A-FTV,1998.0,228,350.0,8AT,AWD,China (as RAV4 Adventure/Plug-in Hybrid variant)
toyota_rav4_xa50_m20d-ftv,toyota_rav4_xa50,2.0L Diesel (M20D-FTV),diesel,M20D-FTV,1996.0,143,300.0,6MT|CVT,FWD|AWD,"Europe, Japan"
toyota_rav4_xa50_a25b-fxs_phev,toyota_rav4_xa50,2.5L Plug-in Hybrid (A25B-FXS),hybrid,A25B-FXS,2487.0,302,,eCVT,AWD-i,Global (as RAV4 Prime)
toyota_tacoma_n140_2rzfe_24l,toyota_tacoma_1st_gen,2RZ-FE 2.4L,gasoline,2RZ-FE,2446.0,142,210.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n140_3rzfe_27l,toyota_tacoma_1st_gen,3RZ-FE 2.7L,gasoline,3RZ-FE,2694.0,150,240.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n140_5vzfe_34l,toyota_tacoma_1st_gen,5VZ-FE 3.4L V6,gasoline,5VZ-FE,3378.0,190,298.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n150_2trfe_40l,toyota_tacoma_2nd_gen,2TR-FE 4.0L V6,gasoline,2TR-FE,3956.0,236,377.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n150_2rzfe_27l_updated,toyota_tacoma_2nd_gen,2RZ-FE 2.7L (Updated),gasoline,2RZ-FE,2694.0,159,241.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n160_2trfe_40l_updated,toyota_tacoma_3rd_gen,2TR-FE 4.0L V6 (Discontinued),gasoline,2TR-FE,3956.0,236,377.0,auto|manual,RWD|4WD,North America (Early models)
toyota_tacoma_n170_2grfe_35l_v6,toyota_tacoma_3rd_gen,2GR-FKS 3.5L V6,gasoline,2GR-FKS,3456.0,278,330.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n170_2rzfe_27l_3rd_gen,toyota_tacoma_3rd_gen,2RZ-FE 2.7L I4 (3rd Gen),gasoline,2RZ-FE,2694.0,159,241.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n190_2grfe_35l_v6_updated,toyota_tacoma_4th_gen,2GR-FKS 3.5L V6 (Early 4th Gen),gasoline,2GR-FKS,3456.0,278,330.0,auto,RWD|4WD,North America (Transition models)
toyota_tacoma_n190_t24a_f_24l_turbo,toyota_tacoma_4th_gen,T24A-F 2.4L Turbo I4,gasoline,T24A-F,2393.0,270,430.0,auto|manual,RWD|4WD,North America
toyota_tacoma_n190_t24a_f_high_output_24l_turbo,toyota_tacoma_4th_gen,T24A-F High Output 2.4L Turbo I4,gasoline,T24A-F,2393.0,326,500.0,auto,RWD|4WD,North America (TRD Pro/Limited)
toyota_tacoma_n190_t24a_f_hybrid_24l_turbo,toyota_tacoma_4th_gen,i-FORCE MAX 2.4L Turbo Hybrid I4,hybrid,T24A-FTS,2393.0,326,630.0,auto,4WD,North America
toyota_tundra_xk30_xk40_34l_v6,toyota_tundra_xk30_xk40,3.4L V6,gasoline,5VZ-FE,3432.0,190,298.0,auto|manual,RWD|4WD,North America
toyota_tundra_xk30_xk40_47l_v8,toyota_tundra_xk30_xk40,4.7L V8,gasoline,2UZ-FE,4664.0,240,434.0,auto,RWD|4WD,North America
toyota_tundra_xk50_4.0_v6_1grfe,toyota_tundra_xk50,4.0L V6 (1GR-FE),gasoline,1GR-FE,3956.0,236,377.0,5-speed automatic,RWD,North America
toyota_tundra_xk50_4.6_v8_1urfe,toyota_tundra_xk50,4.6L V8 (1UR-FE),gasoline,1UR-FE,4608.0,310,439.0,6-speed automatic,RWD,North America
toyota_tundra_xk50_5.7_v8_3urfe,toyota_tundra_xk50,5.7L V8 (3UR-FE),gasoline,3UR-FE,5663.0,381,549.0,6-speed automatic,RWD,North America
toyota_tundra_xk50_5.7_v8_3urfe_flexfuel,toyota_tundra_xk50,5.7L V8 Flex-Fuel (3UR-FE),gasoline,3UR-FE,5663.0,381,549.0,6-speed automatic,RWD,North America
toyota_tundra_xk70_i_force_max_v6_twin_turbo_hybrid,toyota_tundra_xk70,i-FORCE MAX V6 Twin-Turbo Hybrid,hybrid,N300 (Hybrid System),3446.0,437,790.0,auto,RWD|4WD,North America
toyota_tundra_xk70_i_force_v6_twin_turbo,toyota_tundra_xk70,i-FORCE V6 Twin-Turbo,gasoline,T24A-FT,3446.0,389,650.0,auto,RWD|4WD,North America
toyota_prius_gen1_1nzfx,toyota_prius_gen1,1.5L Hybrid (NHW10/NHW11),hybrid,1NZ-FXE,1497.0,76,111.0,CVT (e-CVT),FWD,Global
toyota_prius_gen2_1nzfx_hybrid,toyota_prius_gen2,1.5L Hybrid (NHW20),hybrid,1NZ-FXE,1497.0,110,111.0,CVT (e-CVT),FWD,Global
toyota_prius_gen3_2zr_fx1_hybrid,toyota_prius_gen3,1.8L Hybrid (2ZR-FXE),hybrid,2ZR-FXE,1798.0,134,142.0,CVT,FWD,Global
toyota_prius_alpha_gen3_2zr_fx1_hybrid,toyota_prius_gen3,1.8L Hybrid (2ZR-FXE) - Alpha/V,hybrid,2ZR-FXE,1798.0,134,142.0,CVT,FWD,Japan
toyota_prius_plug_in_gen3_2zr_fx1_hybrid,toyota_prius_gen3,1.8L Plug-in Hybrid (2ZR-FXE),hybrid,2ZR-FXE,1798.0,134,142.0,CVT,FWD,Global
toyota_prius_gen4_1.8_hybrid_standard,toyota_prius_gen4,1.8L Hybrid (Standard),hybrid,2ZR-FXE,1798.0,121,142.0,CVT (eCVT),FWD,Global
toyota_prius_gen4_1.8_hybrid_awd,toyota_prius_gen4,1.8L Hybrid AWD-e,hybrid,2ZR-FXE,1798.0,121,142.0,CVT (eCVT),AWD,Global
toyota_prius_gen4_1.8_plug_in_hybrid,toyota_prius_gen4,1.8L Plug-in Hybrid (Prime),hybrid,2ZR-FXE,1798.0,133,142.0,CVT (eCVT),FWD,Global
toyota_prius_gen4_1.8_hybrid_eco,toyota_prius_gen4,1.8L Hybrid Eco,hybrid,2ZR-FXE,1798.0,121,142.0,CVT (eCVT),FWD,Global
toyota_prius_gen5_hybrid_2.0l_fwd,toyota_prius_gen5,2.0L Hybrid FWD,hybrid,A25A-FXS,1987.0,196,190.0,e-CVT,FWD,Global
toyota_prius_gen5_hybrid_2.0l_awd,toyota_prius_gen5,2.0L Hybrid AWD,hybrid,A25A-FXS,1987.0,194,190.0,e-CVT,AWD,Global
toyota_prius_gen5_phev_1.6l,toyota_prius_gen5,Plug-in Hybrid (PHEV) 2.0L,hybrid,A25A-FXS,1987.0,220,200.0,e-CVT,FWD,Global
toyota_lexus_es_xv20_es300_1997_2001,toyota_lexus_es_xv20,ES 300,gasoline,1MZ-FE,2995.0,194,283.0,auto,FWD,Global
toyota_lexus_es_xv20_es300_1999_2001_facelift,toyota_lexus_es_xv20,ES 300 (Facelift),gasoline,1MZ-FE,2995.0,210,305.0,auto,FWD,Global
toyota_lexus_es_xv30_es300_2002_2003,toyota_lexus_es_xv30,ES 300 (2002-2003),gasoline,3.0L V6 (1MZ-FE),2995.0,210,312.0,auto,FWD,"North America, Japan (as Windom)"
