id,model_id,name,start_year,end_year,facelift_year,platform,chassis_code
toyota_tundra_xk30_xk40,toyota_tundra,First Generation (XK30/XK40),2000,2006.0,2003.0,Toyota T100/Tundra Platform,
toyota_tundra_xk50,toyota_tundra,Second Generation (XK50),2007,2021.0,2014.0,Toyota Tundra/Sequoia Platform,
toyota_tundra_xk70,toyota_tundra,Third Generation (XK70),2022,2025.0,,Toyota TNGA-F Platform,
toyota_prius_gen1,toyota_prius,First Generation,1997,2003.0,2000.0,NHW10/NHW11,
toyota_prius_gen2,toyota_prius,Second Generation,2003,2009.0,2006.0,NHW20,
toyota_prius_gen3,toyota_prius,Third Generation,2009,2015.0,2012.0,ZVW30,
toyota_prius_gen4,toyota_prius,Fourth Generation,2015,2022.0,2018.0,ZVW50/ZVW51/ZVW55,
toyota_prius_gen5,toyota_prius,Fifth Generation,2022,2025.0,,ZVW60/ZVW65,
toyota_lexus_es_code_2000,toyota_lexus_es,XV20,2000,2001.0,,Toyota K platform,
toyota_lexus_es_code_2002,toyota_lexus_es,XV30,2002,2006.0,2004.0,Toyota K platform,
toyota_lexus_es_code_2007,toyota_lexus_es,XV40,2007,2012.0,2010.0,Toyota K platform,
toyota_lexus_es_code_2013,toyota_lexus_es,XV60,2013,2018.0,2016.0,Toyota K platform,
toyota_lexus_es_code_2019,toyota_lexus_es,XZ10,2019,2025.0,2023.0,Toyota GA-K platform,
toyota_lexus_ls_400_x_f20_f30,toyota_lexus_ls,LS 400 (XF20),1994,2000.0,1997.0,XF20,
toyota_lexus_ls_430_x_f40,toyota_lexus_ls,LS 430 (XF40),2000,2006.0,2003.0,XF40,
toyota_lexus_ls_460_x_f50,toyota_lexus_ls,LS 460 / LS 460L (XF50),2006,2017.0,2009.0,XF50,
toyota_lexus_ls_600h_x_f50,toyota_lexus_ls,LS 600h / LS 600hL (XF50),2007,2016.0,2009.0,XF50,
toyota_lexus_ls_500_x_f60,toyota_lexus_ls,LS 500 / LS 500h (XF60),2017,2024.0,2020.0,XF60,
toyota_lexus_ls_500_x_f70,toyota_lexus_ls,LS 500 / LS 500h (XF70),2024,2025.0,,XF70,
toyota_lexus_rx_1998_2003,toyota_lexus_rx,XU10,1998,2003.0,2001.0,Toyota K platform,
toyota_lexus_rx_2003_2008,toyota_lexus_rx,XU30,2003,2008.0,2006.0,Toyota K platform,
toyota_lexus_rx_2008_2015,toyota_lexus_rx,AL10,2008,2015.0,2012.0,Toyota K platform,
toyota_lexus_rx_2015_2022,toyota_lexus_rx,AL20,2015,2022.0,2019.0,Toyota K platform,
toyota_lexus_rx_2022_present,toyota_lexus_rx,ABL10,2022,2025.0,,GA-K platform,
toyota_4runner_code_n180,toyota_4runner,N180,1996,2002.0,2000.0,Hilux Surf,
toyota_4runner_code_n210,toyota_4runner,N210,2003,2009.0,,N210,
toyota_4runner_code_n280,toyota_4runner,N280,2010,2024.0,2014.0,N280,
toyota_4runner_code_n300,toyota_4runner,N300,2024,2025.0,,TNGA-F,
toyota_sequoia_gen1,toyota_sequoia,First Generation,2000,2007.0,2005.0,Toyota Tundra (XK30/XK40),
toyota_sequoia_gen2,toyota_sequoia,Second Generation,2007,2022.0,2017.0,Toyota Tundra (XK50),
toyota_sequoia_gen3,toyota_sequoia,Third Generation,2022,2025.0,,Toyota Tundra (XK70),
toyota_matrix_2003_2008,toyota_matrix,First Generation,2003,2008.0,2005.0,Toyota MC platform,
toyota_matrix_2009_2013,toyota_matrix,Second Generation,2009,2013.0,2011.0,Toyota MC platform,
toyota_celica_t230,toyota_celica,T230,1999,2006.0,2002.0,Toyota MC platform,
toyota_supra_a80,toyota_supra,A80,1993,2002.0,2000.0,Toyota Z Platform,
toyota_supra_a90,toyota_supra,A90/J29,2019,2025.0,2023.0,BMW Z4 (G29) Platform,
toyota_yaris_xp10,toyota_yaris,First Generation (XP10),1999,2005.0,2003.0,NBC Platform,
toyota_yaris_xp90,toyota_yaris,Second Generation (XP90),2005,2011.0,2009.0,Toyota B Platform,
toyota_yaris_xp130,toyota_yaris,Third Generation (XP130),2011,2020.0,2014.0,Toyota B Platform,
toyota_yaris_xp210,toyota_yaris,Fourth Generation (XP210),2020,2025.0,,GA-B Platform,
toyota_avalon_xx20,toyota_avalon,XX20,2000,2004.0,,Toyota K platform,
toyota_avalon_xx30,toyota_avalon,XX30,2005,2012.0,2008.0,Toyota K platform,
toyota_avalon_xx40,toyota_avalon,XX40,2013,2018.0,2016.0,Toyota K platform (GA-K),
toyota_avalon_xx50,toyota_avalon,XX50,2019,2022.0,,Toyota K platform (GA-K),
toyota_land_cruiser_100_series,toyota_land_cruiser,100 Series,1998,2007.0,2002.0,J100,
toyota_land_cruiser_200_series,toyota_land_cruiser,200 Series,2007,2021.0,2015.0,J200,
toyota_land_cruiser_300_series,toyota_land_cruiser,300 Series,2021,2025.0,,TNGA-F (J300),
toyota_land_cruiser_70_series_reintroduction,toyota_land_cruiser,70 Series (Reintroduction),2023,2025.0,,J70,
toyota_fj_cruiser_j15,toyota_fj_cruiser,FJ Cruiser,2006,2014.0,2011.0,J150 (shared platform elements with Land Cruiser Prado),
toyota_venza_2009,toyota_venza,Venza (First Generation),2009,2015.0,2013.0,Toyota D platform,
toyota_venza_2021,toyota_venza,Venza (Second Generation),2021,2025.0,,Toyota TNGA-K platform,
toyota_c-hr_ngx10_ngx50_2016,toyota_c-hr,First Generation (NGX10/NGX50),2016,2023.0,2019.0,TNGA-C (GA-C),
toyota_c-hr_zwa10_zdx10_2023,toyota_c-hr,Second Generation (AXP20/ZWA10/etc),2023,2025.0,,TNGA-C (GA-C),
toyota_corolla_cross_2020_present,toyota_corolla_cross,Corolla Cross,2020,2025.0,,TNGA-C,
toyota_bz4x_gen1,toyota_bz4x,First Generation,2022,2025.0,,e-TNGA,
toyota_gr86_zn8,toyota_gr86,GR86 (Second Generation),2021,2025.0,,ZN8,
toyota_86_zn6,toyota_86,86 (First Generation),2012,2020.0,2016.0,ZN6,
honda_civic_2001_2005_code,honda_civic_2001_2005,EM2/ES1/EP3,2000,2005.0,,7th Generation,
honda_accord_2003_2007_code,honda_accord_2003_2007,"CL7/CL9 (Japan/Europe), CM4/CM5/CM6 (North America)",2003,2007.0,,7th Generation,
honda_jazz_2001_2008_code,honda_jazz_2001_2008,GD1/GD2/GD3/GD4/GG1/GG2/GG3/GG4,2001,2008.0,2005.0,GD,
honda_s2000_ap1,honda_s2000,AP1,1999,2003.0,,S2000,
honda_s2000_ap2,honda_s2000,AP2,2004,2009.0,2006.0,S2000,
honda_crv_2002_2006_code,honda_crv_2002_2006,RD4-RD7,2001,2006.0,2004.0,Honda Global Compact Platform,
honda_civic_2006_2011_code,honda_civic_2006_2011,8th Generation (FD/FA/FG/FK/FN),2006,2011.0,2009.0,Civic Platform,
honda_accord_2008_2012_code,honda_accord_2008_2012,CU1/CU2/CU3/CU4/CU5,2008,2012.0,,8th Generation (North America/Japan/China),
honda_accord_2008_2015_code,honda_accord_2008_2015,CU1/CU2/CU3/CU4/CU5,2008,2015.0,,8th Generation (Europe/Other Markets - Accord Tourer/Sedan),
honda_accord_2013_2017_code,honda_accord_2013_2017,CR2/CR3/CR4/CR5/CR6/CR7/CR9,2013,2017.0,2016.0,9th Generation (North America/Japan/China),
honda_accord_2018_2022_code,honda_accord_2018_2022,CV1/CV2/CV3,2018,2022.0,2021.0,10th Generation,
honda_accord_2023_present_code,honda_accord_2023_present,CV4/CV5,2023,2025.0,,11th Generation,
honda_jazz_2008_2015_code,honda_jazz_2008_2015,GE Series,2008,2015.0,2011.0,GE,
honda_jazz_2013_2020_code,honda_jazz_2013_2020,GK Series,2013,2020.0,2017.0,GK,
honda_jazz_2020_present_code,honda_jazz_2020_present,GR Series,2020,2025.0,,GR,
honda_crv_2007_2011_code,honda_crv_2007_2011,RE1-RE7,2007,2011.0,2010.0,Honda Global Compact Platform,
honda_crv_2012_2016_code,honda_crv_2012_2016,RM1-RM4,2012,2016.0,2015.0,Honda Global Compact Platform,
honda_crv_2017_2022_code,honda_crv_2017_2022,"RW1-RW6, RT1-RT6",2017,2022.0,2020.0,Honda Compact Global Platform,
honda_crv_2023_present_code,honda_crv_2023_present,"RS, RV1-RV6",2023,2025.0,,Honda Compact Global Platform,
honda_insight_2000_2006_code,honda_insight_2000_2006,ZE1,2000,2006.0,2004.0,Honda Integrated Motor Assist (IMA),
honda_insight_2009_2014_code,honda_insight_2009_2014,ZE2/ZE3,2009,2014.0,2012.0,Honda Integrated Motor Assist (IMA),
honda_insight_2019_2022_code,honda_insight_2019_2022,ZE4,2019,2022.0,,Honda Two-Motor Hybrid System (i-MMD),
honda_crz_2010_2016_zf1,honda_crz_2010_2016,CR-Z,2010,2016.0,2013.0,IMA Hybrid System (Based on Honda Global Small Car Platform),
honda_civic_2012_2015_code,honda_civic_2012_2015,9th Generation (FB/FG/FK),2011,2015.0,2014.0,FB/FG/FK,
honda_civic_2016_2021_code,honda_civic_2016_2021,10th Generation (FC/FK),2015,2021.0,2019.0,FC/FK,
honda_civic_2022_present_code,honda_civic_2022_present,11th Generation (FE/FL),2021,2025.0,,FE/FL,
honda_hrv_2000_2006_gh1,honda_hrv_2000_2006,HR-V (GH1-GH4),1998,2006.0,2001.0,Honda Logo/HR-V Platform,
honda_civic_2001_2005_7th_gen,civic_7th_gen,7th Generation (ES/EP/EU),2000,2005.0,2003.0,Honda Global Small Car Platform,
honda_civic_2006_2011_8th_gen,civic_8th_gen,8th Generation (FD/FA/FG/FK/FN),2005,2011.0,2008.0,Honda Global Compact Platform,
honda_civic_2012_2015_9th_gen,civic_9th_gen,9th Generation (FB/FG/FK),2011,2015.0,2014.0,Honda Global Compact Platform,
honda_civic_2016_2021_10th_gen,civic_10th_gen,10th Generation (FC/FK),2015,2021.0,2018.0,Honda Global Compact Platform,
honda_civic_2022_present_11th_gen,civic_11th_gen,11th Generation (FE/FL),2021,2025.0,,Honda Global Compact Platform,
honda_nsx_2016_2022_code,honda_nsx_2016_2022,NC1,2016,2022.0,2022.0,Acura NSX (2nd Gen),
honda_hrv_1998_2006_code,honda_hrv_1998_2006,GH1/GH2/GH3/GH4,1998,2006.0,2001.0,Honda Real Time 4WD,
honda_hrv_2013_2021_code,honda_hrv_2013_2021,RU1/RU2/RU3/RU4 (Global/USDM/JDM),2013,2021.0,2018.0,Honda Global Small Car Platform (Global) / Honda Global Architecture (USDM),
honda_hrv_2021_present_code,honda_hrv_2021_present,RV1/RV2/RV3/RV4/RV5/RV6 (JDM/Asia) / RS/Sport (USDM/Canada),2021,2025.0,,Honda Global Architecture (e:HEARtect),
honda_e_2020_present,ZC7,Honda e,2020,2025.0,,Honda e Platform,
ford_fiesta_mk6,ford_fiesta,Mk6 (Mark VI),2002,2008.0,2005.0,Ford B3 platform,
ford_fiesta_mk7,ford_fiesta,Mk7 (Mark VII),2008,2017.0,2013.0,Ford B299 platform,
ford_fiesta_mk8,ford_fiesta,Mk8 (Mark VIII),2017,2023.0,2021.0,Ford B515 platform,
ford_focus_mk1,ford_focus,Mk1,1998,2004.0,2001.0,C170,
ford_focus_mk2,ford_focus,Mk2,2004,2011.0,2008.0,C1,
ford_focus_mk3,ford_focus,Mk3,2011,2018.0,2014.0,Global C,
ford_focus_mk4,ford_focus,Mk4,2018,2025.0,,Global C,
ford_mondeo_mk3,ford_mondeo,Mk III (CD132),2000,2007.0,2003.0,Ford CD132,
ford_mondeo_mk4,ford_mondeo,Mk IV (CD345),2007,2014.0,2010.0,Ford CD345,
ford_mondeo_mk5_eu,ford_mondeo,Mk V (CD391 - European/International),2014,2022.0,2019.0,Ford CD391,
ford_mondeo_mk5_us,ford_fusion,Fusion (North America - CD391),2013,2020.0,2017.0,Ford CD391,
ford_mondeo_mk6_china,ford_mondeo,Mk VI (CD790 - China Only),2022,2025.0,,Ford CD790,
ford_mustang_s197,ford_mustang,S197,2005,2014.0,2010.0,Ford D2C,
ford_mustang_s550,ford_mustang,S550,2015,2023.0,2018.0,Ford S550,
ford_mustang_s650,ford_mustang,S650,2024,2025.0,,Ford S650,
ford_puma_code_1,ford_puma,Ford Puma (First Generation),1997,2002.0,2000.0,Ford Fiesta Mk4/Mk5 (J5/J7),
ford_puma_code_2,ford_puma,Ford Puma (Second Generation),2019,2025.0,,Ford B-car platform (B583),
ford_kuga_mk1,ford_kuga,Kuga Mk1,2008,2012.0,2010.0,C1,
ford_kuga_mk2,ford_kuga,Kuga Mk2 (C520),2012,2019.0,2016.0,Global C,
ford_kuga_mk3,ford_kuga,Kuga Mk3 (C552),2019,2025.0,2023.0,C2,
ford_explorer_3rd_gen,ford_explorer,U152,2002,2005.0,,Ford U platform,
ford_explorer_4th_gen,ford_explorer,U251,2006,2010.0,,Ford U platform,
ford_explorer_5th_gen,ford_explorer,U502,2011,2019.0,2016.0,Ford D4 platform,
ford_explorer_6th_gen,ford_explorer,U625,2020,2025.0,,Ford CD6 platform,
ford_transit_custom_2012,ford_transit_custom,V362,2012,2024.0,2018.0,Ford Transit/Tourneo Custom (V362),
ford_transit_custom_2024,ford_transit_custom,V377,2024,2025.0,,Ford Transit/Tourneo Custom (V377),
ford_s_max_mk1,ford_s_max,Mk1,2006,2015.0,2010.0,Ford CD345/CD347,
ford_s_max_mk2,ford_s_max,Mk2,2015,2023.0,,Ford CD539,
ford_galaxy_mk1,ford_galaxy,Mk1 (VW Sharan/Alhambra Platform),2000,2006.0,2003.0,VW Type 25,
ford_galaxy_mk2,ford_galaxy,Mk2 (Ford Mondeo Platform),2006,2015.0,2010.0,Ford CD345,
ford_galaxy_mk3,ford_galaxy,Mk3 (Ford Mondeo Platform),2015,2023.0,2019.0,Ford CD4,
ford_b_max_2012,ford_b_max,Ford B-Max (First Generation),2012,2017.0,,Ford Global B Platform (shared with Fiesta Mk7),
ford_c_max_gen1,ford_c_max,First Generation,2003,2010.0,2007.0,Ford C1 platform,
ford_c_max_gen2,ford_c_max,Second Generation,2010,2019.0,2014.0,Ford C1 platform,
ford_ka_mk1,ford_ka,Mk1 (First Generation),1996,2008.0,2003.0,Ford KA/Fiesta platform,
ford_ka_mk2,ford_ka,Mk2 (Second Generation),2008,2016.0,,Ford B3 platform (shared with Fiat 500),
ford_ka_plus,ford_ka,Ka+,2016,2021.0,,Ford B-car platform (based on Fiesta Mk7/Mk8),
ford_ecosport_b515,ford_ecosport,B515,2003,2012.0,2007.0,Ford B platform,
ford_ecosport_b515_facelift_2007,ford_ecosport,B515 (Facelift),2007,2012.0,2007.0,Ford B platform,
ford_ecosport_b583,ford_ecosport,B583 (Global/India/Europe),2012,2019.0,2017.0,Ford Global B platform,
ford_ecosport_b583_facelift_2017,ford_ecosport,B583 (Facelift),2017,2019.0,2017.0,Ford Global B platform,
ford_ecosport_c552,ford_ecosport,C552 (China/Brazil/North America),2018,2023.0,,Ford Global B platform,
ford_ecosport_c552_facelift_2021,ford_ecosport,C552 (Facelift),2021,2023.0,2021.0,Ford Global B platform,
ford_mustang_mach_e_2021,ford_mustang_mach_e,First Generation,2021,2025.0,,Ford Global C Platform (Modified),
ford_tourneo_connect_2002,ford_tourneo_connect,Tourneo Connect (First Generation),2002,2013.0,2009.0,Ford C170,
ford_tourneo_connect_2013,ford_tourneo_connect,Tourneo Connect (Second Generation),2013,2021.0,2018.0,Ford C2 platform (based on Ford Focus Mk3),
ford_tourneo_connect_2021,ford_tourneo_connect,Tourneo Connect (Third Generation),2021,2025.0,,VW Caddy 5 platform (VW MQB23),
ford_transit_code_2000,ford_transit,V184/V185,2000,2006.0,2006.0,Ford Transit (fifth generation),
ford_transit_code_2006,ford_transit,V347/V348,2006,2013.0,2013.0,Ford Transit (sixth generation),
ford_transit_code_2013,ford_transit,V363,2013,2019.0,2019.0,Ford Transit (seventh generation),
ford_transit_code_2019,ford_transit,V363 Facelift,2019,2024.0,,Ford Transit (seventh generation),
ford_transit_code_2024,ford_transit,V378,2024,2025.0,,Ford Transit (eighth generation),
ford_ranger_t6_1,ford_ranger,T6 (First Generation),2011,2015.0,,Ford T6,
ford_ranger_t6_2,ford_ranger,T6 (Facelift 1),2015,2018.0,2015.0,Ford T6,
ford_ranger_t6_3,ford_ranger,T6 (Facelift 2 / P375),2018,2022.0,2018.0,Ford T6,
ford_ranger_t6_4,ford_ranger,T6.2 (Facelift 3 / P703),2022,2025.0,2022.0,Ford T6,
ford_ranger_us_1,ford_ranger,North American (P375),2019,2022.0,,Ford T6,
ford_ranger_us_2,ford_ranger,North American (P703),2023,2025.0,,Ford T6,
ford_ranger_er_1,ford_ranger,Ranger/Everest (ER),2023,2025.0,,Ford T6,
ford_ranger_er_2,ford_ranger,Ranger/Everest (ER Facelift),2025,2025.0,2025.0,Ford T6,
volkswagen_golf_mk4,volkswagen_golf,Golf Mk4,1997,2006.0,,A4 (PQ34),
volkswagen_golf_mk5,volkswagen_golf,Golf Mk5,2003,2009.0,,PQ35,
volkswagen_golf_mk6,volkswagen_golf,Golf Mk6,2008,2013.0,,PQ35,
volkswagen_golf_mk7,volkswagen_golf,Golf Mk7,2012,2020.0,2017.0,MQB A1 (PQ37),
volkswagen_golf_mk8,volkswagen_golf,Golf Mk8,2019,2025.0,,MQB Evo,
volkswagen_polo_mk4,volkswagen_polo,Polo Mk4,2002,2009.0,2005.0,PQ24,
volkswagen_polo_mk5,volkswagen_polo,Polo Mk5,2009,2017.0,2014.0,PQ25,
volkswagen_polo_mk6,volkswagen_polo,Polo Mk6,2017,2025.0,2021.0,MQB A0,
volkswagen_passat_b5_facelift,volkswagen_passat,B5 (Facelift),2000,2005.0,2000.0,B5,
volkswagen_passat_b6,volkswagen_passat,B6,2005,2010.0,,PQ46,
volkswagen_passat_b7,volkswagen_passat,B7,2010,2014.0,,PQ46,
volkswagen_passat_b8,volkswagen_passat,B8,2014,2023.0,2019.0,MQB,
volkswagen_passat_b9,volkswagen_passat,B9,2023,2025.0,,MQB Evo,
volkswagen_tiguan_5n,volkswagen_tiguan,Tiguan (Typ 5N),2007,2018.0,2011.0,PQ35,
volkswagen_tiguan_bw2,volkswagen_tiguan,Tiguan (Typ BW2),2016,2024.0,2020.0,MQB A1,
volkswagen_tiguan_dr1,volkswagen_tiguan,Tiguan (Typ DR1) / Tiguan Allspace,2017,2024.0,2021.0,MQB A2,
volkswagen_tiguan_j8,volkswagen_tiguan,Tiguan (Typ J8),2024,2025.0,,MQB Evo,
volkswagen_touareg_generation_1,volkswagen_touareg,Touareg (First Generation),2002,2010.0,2007.0,PL71,
volkswagen_touareg_generation_2,volkswagen_touareg,Touareg (Second Generation),2010,2018.0,2014.0,PL72,
volkswagen_touareg_generation_3,volkswagen_touareg,Touareg (Third Generation),2018,2025.0,2023.0,MLB Evo,
volkswagen_id3_gen1,volkswagen_id3,ID.3 (Pre-facelift),2019,2023.0,,MEB,
volkswagen_id3_gen2,volkswagen_id3,ID.3 (Facelift),2023,2025.0,2023.0,MEB,
volkswagen_id4_gen1,volkswagen_id4,First Generation,2020,2023.0,,MEB,
volkswagen_id4_gen2,volkswagen_id4,Second Generation (Facelift),2024,2025.0,2024.0,MEB,
volkswagen_id5_gen1,volkswagen_id5,First Generation,2022,2025.0,,MEB,
volkswagen_id6_gen1,volkswagen_id6,First Generation,2021,2025.0,,MEB,
volkswagen_t_roc_gen1,volkswagen_t_roc,First Generation,2017,2022.0,2021.0,MQB A1,
volkswagen_t_roc_gen2,volkswagen_t_roc,Second Generation,2022,2025.0,,MQB A1,
volkswagen_taigo_2021_present,volkswagen_taigo,Volkswagen Taigo,2021,2025.0,,MQB A0,
volkswagen_up_2011_present,volkswagen_up,Up!,2011,2024.0,2016.0,VW Group NSF (New Small Family),
volkswagen_sharan_generation_1,volkswagen_sharan,Sharan (Mk1),2000,2010.0,2006.0,Volkswagen Group A4 (PQ34),
volkswagen_sharan_generation_2,volkswagen_sharan,Sharan (Mk2),2010,2023.0,2015.0,Volkswagen Group MQB,
volkswagen_touran_1st_gen,volkswagen_touran,Typ 1T,2003,2015.0,2010.0,PQ35,
volkswagen_touran_2nd_gen,volkswagen_touran,Typ 5T,2015,2023.0,2021.0,MQB,
volkswagen_touran_3rd_gen,volkswagen_touran,Typ 2T,2023,2025.0,,MQB Evo,
volkswagen_arteon_b38,volkswagen_arteon,Arteon (First Generation),2017,2023.0,2020.0,MQB,
volkswagen_arteon_b39,volkswagen_arteon,Arteon (Second Generation),2023,2025.0,,MQB Evo,
volkswagen_scirocco_mk3,volkswagen_scirocco,Scirocco Mk3,2008,2017.0,2014.0,PQ35,
volkswagen_eos_gen1,volkswagen_eos,First Generation,2006,2015.0,2011.0,PQ35,
volkswagen_caddy_2000_2003,volkswagen_caddy,Caddy II (Typ 9K),2000,2003.0,,Volkswagen Group A03 (Polo 6N),
volkswagen_caddy_2003_2010,volkswagen_caddy,Caddy III (Typ 2K),2003,2010.0,,Volkswagen Group PQ35,
volkswagen_caddy_2010_2015,volkswagen_caddy,Caddy III Facelift (Typ 2K/2C),2010,2015.0,2010.0,Volkswagen Group PQ35,
volkswagen_caddy_2015_2020,volkswagen_caddy,Caddy IV (Typ 2K/2C),2015,2020.0,2015.0,Volkswagen Group PQ35,
volkswagen_caddy_2020_present,volkswagen_caddy,Caddy V (Typ SB),2020,2025.0,,Volkswagen Group MQB Evo,
volkswagen_multivan_t4,volkswagen_multivan,T4,1990,2003.0,1996.0,Volkswagen T4 platform,
volkswagen_multivan_t5,volkswagen_multivan,T5,2003,2015.0,2009.0,Volkswagen T5 platform,
volkswagen_multivan_t6,volkswagen_multivan,T6,2015,2019.0,,Volkswagen T6 platform,
volkswagen_multivan_t61,volkswagen_multivan,T6.1,2019,2024.0,,Volkswagen T6.1 platform,
volkswagen_multivan_t7,volkswagen_multivan,T7,2021,2025.0,,MQB Evo platform,
volkswagen_id7_gen1,volkswagen_id7,First Generation,2023,,,MEB,
bmw_1series_f40_gen1,bmw_1series_f40,First Generation (F40),2019,2025.0,,UKL2,
bmw_2series_f44_gen1,bmw_2series_f44,F44,2019,2025.0,,UKL2,
bmw_2series_f22_code,bmw_2series_f22,2 Series Coupe (F22),2013,2021.0,2017.0,F22,
bmw_2series_g42_code,bmw_2series_g42,2 Series Coupe (G42),2021,2025.0,,G42,
bmw_2series_f46_gen1,bmw_2series_f46,F46,2015,2021.0,,UKL2,
bmw_3series_g20_2018,bmw_3series_g20,G20 (Sedan),2018,2025.0,2022.0,CLAR,
bmw_3series_g21_2019,bmw_3series_g21,G21 (Touring/Wagon),2019,2025.0,2022.0,CLAR,
bmw_4series_g22_gen1,bmw_4series_g22,First Generation (G22),2020,2023.0,,CLAR,
bmw_4series_g22_gen2,bmw_4series_g22,Second Generation (G22 LCI),2024,2025.0,2024.0,CLAR,
bmw_4series_g23_gen1,bmw_4series_g23,First Generation (G23),2021,2024.0,,CLAR,
bmw_4series_g23_gen2,bmw_4series_g23,Second Generation (G23 LCI),2025,2025.0,2025.0,CLAR,
bmw_4series_g26_gen1,bmw_4series_g26,First Generation,2021,2025.0,,CLAR,
bmw_5series_g30_2017_2020,bmw_5series_g30,G30 (Pre-LCI),2017,2020.0,,G30,
bmw_5series_g30_2021_2023,bmw_5series_g30,G30 LCI (Facelift),2021,2023.0,2021.0,G30,
bmw_5series_g31_2017_present,bmw_5series_g31,BMW 5 Series Touring (G31),2017,2023.0,2020.0,Cluster Architecture (CLAR),
bmw_7series_g11_g12,g11_g12,7 Series (G11/G12),2015,2022.0,2019.0,Modular Longitudinal Architecture (CLAR),
bmw_8series_g15_2018,bmw_8series_g15,BMW 8 Series Coupe (G15),2018,2025.0,2021.0,CLAR,
bmw_i4_g26_2021,bmw_i4_g26,BMW i4 (G26),2021,2025.0,,CLAR,
bmw_i7_g70_2022,bmw_i7_g70,BMW i7 (G70),2022,2025.0,,CLAR,
bmw_i5_g60_gen1,bmw_i5,i5 (G60),2023,2025.0,,CLAR,
bmw_x1_e84,bmw_x1_e84,X1 (E84),2009,2015.0,2012.0,E84,
bmw_x1_f48,bmw_x1_f48,X1 (F48),2015,2022.0,2019.0,UKL1/FAAR,
bmw_x1_u11,bmw_x1_u11,X1 (U11),2022,2025.0,,FAAR,
bmw_x2_f39,bmw_x2_f39,X2 (F39),2018,2023.0,2021.0,UKL2,
bmw_x2_u10,bmw_x2_u10,X2 (U10),2024,2025.0,,FAAR,
bmw_x3_g01_2017,bmw_x3_g01,G01,2017,2024.0,2021.0,CLAR,
bmw_x4_g02_gen1,bmw_x4_g02,First Generation (F26),2014,2018.0,2017.0,F26,
bmw_x4_g02_gen2,bmw_x4_g02,Second Generation (G02),2018,2024.0,2021.0,G02,
bmw_x4_g02_gen3,bmw_x4_g02,Third Generation (U19),2024,2025.0,,U19,
bmw_x5_e53_code,bmw_x5_e53,X5 (E53),2000,2006.0,2003.0,E53,
bmw_x5_e70_code,bmw_x5_e70,X5 (E70),2006,2013.0,2010.0,E70,
bmw_x5_f15_code,bmw_x5_f15,X5 (F15),2013,2018.0,2015.0,F15,
bmw_x5_g05_code,bmw_x5_g05,X5 (G05),2018,2025.0,2023.0,CLAR,
bmw_x6_g06_code,bmw_x6_g06,G06,2019,2023.0,,CLAR,
bmw_x6_g06_lci_code,bmw_x6_g06_lci,G06 LCI,2023,2025.0,2023.0,CLAR,
